AREA_NAME,Crime_Type,Total_Count
Eringate-Centennial-West Deane,ASSAULT,3352.6195069
Eringate-Centennial-West Deane,AUTOTHEFT,3107.362442
Eringate-Centennial-West Deane,BIKETHEFT,160.78732967
Eringate-Centennial-West Deane,BREAKENTER,1489.00454334
Eringate-Centennial-West Deane,HOMICIDE,18.435177324
Eringate-Centennial-West Deane,ROBBERY,784.32524491
Eringate-Centennial-West Deane,SHOOTING,117.43467999500001
Eringate-Centennial-West Deane,THEFTFROMMV,2727.1177098
Eringate-Centennial-West Deane,THEFTOVER,216.19220543
Etobicoke City Centre,ASSAULT,8983.2856445
Etobicoke City Centre,AUTOTHEFT,6645.0069578
Etobicoke City Centre,BIKETHEFT,793.21971575
Etobicoke City Centre,BREAKENTER,3776.8899841
Etobicoke City Centre,HOMICIDE,53.388298514
Etobicoke City Centre,ROBBERY,1424.87588878
Etobicoke City Centre,SHOOTING,128.970163828
Etobicoke City Centre,THEFTFROMMV,7107.666458
Etobicoke City Centre,THEFTOVER,1977.72801964
Etobicoke West Mall,ASSAULT,4870.9756776
Etobicoke West Mall,AUTOTHEFT,1729.86159505
Etobicoke West Mall,BIKETHEFT,305.889452131
Etobicoke West Mall,BREAKENTER,1447.38335412
Etobicoke West Mall,HOMICIDE,46.344108579
Etobicoke West Mall,ROBBERY,567.284516296
Etobicoke West Mall,SHOOTING,192.51185845999998
Etobicoke West Mall,THEFTFROMMV,2504.4062835
Etobicoke West Mall,THEFTOVER,327.76951217
Fenside-Parkwoods,ASSAULT,5799.7088012
Fenside-Parkwoods,AUTOTHEFT,1340.96099469
Fenside-Parkwoods,BIKETHEFT,243.997287623
Fenside-Parkwoods,BREAKENTER,1604.02788555
Fenside-Parkwoods,HOMICIDE,21.892748832000002
Fenside-Parkwoods,ROBBERY,823.68722147
Fenside-Parkwoods,SHOOTING,110.986521711
Fenside-Parkwoods,THEFTFROMMV,2736.3161867
Fenside-Parkwoods,THEFTOVER,188.342018606
Flemingdon Park,ASSAULT,7784.7073364
Flemingdon Park,AUTOTHEFT,771.25836177
Flemingdon Park,BIKETHEFT,321.440214937
Flemingdon Park,BREAKENTER,1039.17984779
Flemingdon Park,HOMICIDE,10.738742828
Flemingdon Park,ROBBERY,837.44049261
Flemingdon Park,SHOOTING,352.806747912
Flemingdon Park,THEFTFROMMV,1997.45048262
Flemingdon Park,THEFTOVER,182.202487947
Forest Hill North,ASSAULT,3260.493042
Forest Hill North,AUTOTHEFT,2233.32775487
Forest Hill North,BIKETHEFT,1216.71420621
Forest Hill North,BREAKENTER,2892.72416707
Forest Hill North,HOMICIDE,0
Forest Hill North,ROBBERY,815.82018004
Forest Hill North,SHOOTING,25.684628009
Forest Hill North,THEFTFROMMV,2640.35248362
Forest Hill North,THEFTOVER,284.0474186
Forest Hill South,ASSAULT,2314.1439362
Forest Hill South,AUTOTHEFT,3546.20344554
Forest Hill South,BIKETHEFT,1190.18489959
Forest Hill South,BREAKENTER,3830.5543061
Forest Hill South,HOMICIDE,0
Forest Hill South,ROBBERY,447.570605271
Forest Hill South,SHOOTING,19.210832596
Forest Hill South,THEFTFROMMV,2366.4568739
Forest Hill South,THEFTOVER,496.26469231
Fort York-Liberty Village,ASSAULT,7622.0786437
Fort York-Liberty Village,AUTOTHEFT,921.50671008
Fort York-Liberty Village,BIKETHEFT,4124.0011598
Fort York-Liberty Village,BREAKENTER,2664.6976013
Fort York-Liberty Village,HOMICIDE,31.246786599
Fort York-Liberty Village,ROBBERY,453.11409568
Fort York-Liberty Village,SHOOTING,98.18001413900001
Fort York-Liberty Village,THEFTFROMMV,2439.9360133
Fort York-Liberty Village,THEFTOVER,697.99863433
Glenfield-Jane Heights,ASSAULT,12758.682556
Glenfield-Jane Heights,AUTOTHEFT,3613.7621765
Glenfield-Jane Heights,BIKETHEFT,449.08517853
Glenfield-Jane Heights,BREAKENTER,1603.73848735
Glenfield-Jane Heights,HOMICIDE,57.902977701
Glenfield-Jane Heights,ROBBERY,1931.67462906
Glenfield-Jane Heights,SHOOTING,833.24222567
Glenfield-Jane Heights,THEFTFROMMV,3317.9073527
Glenfield-Jane Heights,THEFTOVER,483.70092011
Golfdale-Cedarbrae-Woburn,ASSAULT,9350.9329223
Golfdale-Cedarbrae-Woburn,AUTOTHEFT,1704.46669385
Golfdale-Cedarbrae-Woburn,BIKETHEFT,259.85633925
Golfdale-Cedarbrae-Woburn,BREAKENTER,1837.04328162
Golfdale-Cedarbrae-Woburn,HOMICIDE,50.923072334
Golfdale-Cedarbrae-Woburn,ROBBERY,1819.48731618
Golfdale-Cedarbrae-Woburn,SHOOTING,288.324972159
Golfdale-Cedarbrae-Woburn,THEFTFROMMV,2866.6754458
Golfdale-Cedarbrae-Woburn,THEFTOVER,257.72356795999997
Greenwood-Coxwell,ASSAULT,8824.9169922
Greenwood-Coxwell,AUTOTHEFT,1562.95181279
Greenwood-Coxwell,BIKETHEFT,2543.2538158
Greenwood-Coxwell,BREAKENTER,3048.2397613
Greenwood-Coxwell,HOMICIDE,38.108485221
Greenwood-Coxwell,ROBBERY,1385.2366714300001
Greenwood-Coxwell,SHOOTING,113.96100617100001
Greenwood-Coxwell,THEFTFROMMV,4636.3217198
Greenwood-Coxwell,THEFTOVER,442.13742067
Guildwood,ASSAULT,4587.1151426
Guildwood,AUTOTHEFT,776.10807602
Guildwood,BIKETHEFT,262.303371812
Guildwood,BREAKENTER,1226.45316309
